SceneID,MassFactorA,MassFactorB,ActualOffset_s,PrimaryFineMeanSOCSaving_kWh,PrimaryCoarseMeanSOCSaving_kWh,PrimarySceneMeanStepChange_kWh,MaxPrimarySOCStepChange_kWh,SecondaryFineMeanSOCSaving_kWh,SecondaryCoarseMeanSOCSaving_kWh,Complete
60,0.99445647130551,1.01343367403608,35.4585368380216,0.071468431076724,0.0714716045903003,-3.17351357637108e-06,3.17360159840518e-06,0.0766484739777411,0.0766486885792617,1
61,0.964435072479372,0.951084343669827,35.690301178371,0.112893297065689,0.112888529080493,4.76798519599697e-06,4.7688699282844e-06,0.116413319901632,0.116411391583853,1
62,1.03975309016475,0.997769165758944,34.3155380879397,0.0781671461795881,0.0781670369192398,1.09260348324369e-07,1.0926166282843e-07,0.0843847663387365,0.0843846981655929,1
63,1.0452628870119,1.00265455985905,36.9006012204799,0.138464512344783,0.138466792577077,-2.28023229453811e-06,2.28066960517026e-06,0.126199391030234,0.126199990240174,1
64,1.00713545720737,1.00073021395294,36.1745569778377,0.113234006033984,0.113233519083849,4.86950135325515e-07,4.86976190927635e-07,0.105308712344836,0.105308472718875,1
65,0.961039530866769,1.01389689075876,37.0207121543913,0.0646433827069899,0.0646444754661246,-1.09275913473539e-06,1.09345594978549e-06,0.0525295055673283,0.0525295687357854,1
66,0.950525526230997,0.988201695143051,35.7837697966391,0.0842341237260413,0.0842352761347627,-1.15240872133882e-06,1.15320113991402e-06,0.079453312801725,0.0794535393043958,1
67,0.968327969077943,0.97126203703618,35.0950230039025,0.0871080694543522,0.0871082732973676,-2.03843015356142e-07,2.04641082746093e-07,0.0908961337788767,0.0908963755758734,1
68,0.978041674442963,1.00063122735928,37.3646829576935,0.0934775357168363,0.0934773747994413,1.60917394964599e-07,2.18979650412621e-07,0.0697262515247843,0.0697263968130528,1
69,1.0378559981945,1.04245564291822,33.280234732786,0.0311513837169386,0.0311515712392136,-1.87522275041374e-07,1.87537736451304e-07,0.0381679286998136,0.0381681657445441,1
70,1.00267088006698,0.961495639571747,36.402262169715,0.140220873505228,0.140221289835225,-4.16329996255627e-07,4.1726215727067e-07,0.137891306087042,0.137891626471507,1
71,0.960680132109265,0.962688863253191,33.3392554599193,0.0561074588341768,0.0561046555829208,2.80325125601166e-06,2.80328487178849e-06,0.0617952492924019,0.0617920896535225,1
72,0.97858230970068,1.00903728725554,35.4878371952553,0.0703015824480318,0.0703004455886216,1.13685941016684e-06,1.13691230296808e-06,0.0734782700366452,0.0734777335892289,1
73,0.958751931232873,1.01395719861738,36.1510755605378,0.0790141712007113,0.0790140377226294,1.33478081920657e-07,1.34707491383779e-07,0.0656742312958301,0.0656744045220563,1
74,0.991498492355028,1.01453109991094,34.5142109979338,0.0561654385214752,0.0561652845164744,1.54005000752022e-07,1.54064281332467e-07,0.0608036840229431,0.0608023590217641,1
75,1.01333667312956,0.976801411880198,33.2361363971531,0.0625624461994363,0.0625613990903489,1.04710908743755e-06,1.04717015858569e-06,0.0682132744040942,0.0682135190492303,1
76,1.00786768177457,0.969101465341644,33.6063160487839,0.0740217232731908,0.0740235693560081,-1.8460828172806e-06,1.84610063058699e-06,0.0799645426852109,0.0799671449840531,1
77,0.981791825866521,0.995524833630458,36.7762841360843,0.102946410222515,0.102947959717447,-1.54949493236245e-06,1.55131620260818e-06,0.0902734715983726,0.0902734943016554,1
